file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt,source_file
KIF/HE.KIF..HHE__20250104T233437Z__20250104T233537Z.mseed,HE,KIF,0,0,0,0,2025-01-04 23:34:41.050000,0.655,2025-01-04 23:34:48.020000,0.225,2025-01-04 23:34:37.000000,2025-01-04 23:35:37.000000,eqcct_noise_th0_1/20250104T233437Z_20250104T233537Z/KIF_outputs/X_prediction_results.csv
KPF/HE.KPF..HHN__20250105T013705Z__20250105T013805Z.mseed,HE,KPF,0,0,0,0,2025-01-05 01:37:09.444000,0.111,,,2025-01-05 01:37:05.000000,2025-01-05 01:38:05.000000,eqcct_noise_th0_1/20250105T013705Z_20250105T013805Z/KPF_outputs/X_prediction_results.csv
KPF/HE.KPF..HHN__20250105T013705Z__20250105T013805Z.mseed,HE,KPF,0,0,0,0,2025-01-05 01:38:15.374000,0.157,,,2025-01-05 01:37:05.000000,2025-01-05 01:38:05.000000,eqcct_noise_th0_1/20250105T013705Z_20250105T013805Z/KPF_outputs/X_prediction_results.csv
OBF3/HE.OBF3..HHZ__20250105T061359Z__20250105T061459Z.mseed,HE,OBF3,0,0,0,0,2025-01-05 06:14:04.006000,0.21,2025-01-05 06:14:24.086000,0.387,2025-01-05 06:13:59.000000,2025-01-05 06:14:59.000000,eqcct_noise_th0_1/20250105T061359Z_20250105T061459Z/OBF3_outputs/X_prediction_results.csv
FIC3/HE.FIC3..HHN__20250105T062440Z__20250105T062540Z.mseed,HE,FIC3,0,0,0,0,2025-01-05 06:24:44.770000,0.246,,,2025-01-05 06:24:40.000000,2025-01-05 06:25:40.000000,eqcct_noise_th0_1/20250105T062440Z_20250105T062540Z/FIC3_outputs/X_prediction_results.csv
KEV/HE.KEV..HHZ__20250105T063808Z__20250105T063908Z.mseed,HE,KEV,0,0,0,0,2025-01-05 06:39:19.560000,0.111,,,2025-01-05 06:38:08.000000,2025-01-05 06:39:08.000000,eqcct_noise_th0_1/20250105T063808Z_20250105T063908Z/KEV_outputs/X_prediction_results.csv
KIF/HE.KIF..HHE__20250105T065306Z__20250105T065406Z.mseed,HE,KIF,0,0,0,0,2025-01-05 06:53:10.970000,0.341,2025-01-05 06:53:42.480000,0.45,2025-01-05 06:53:06.000000,2025-01-05 06:54:06.000000,eqcct_noise_th0_1/20250105T065306Z_20250105T065406Z/KIF_outputs/X_prediction_results.csv
KEF/HE.KEF..HHN__20250105T072003Z__20250105T072103Z.mseed,HE,KEF,0,0,0,0,2025-01-05 07:20:07.380000,0.392,,,2025-01-05 07:20:03.000000,2025-01-05 07:21:03.000000,eqcct_noise_th0_1/20250105T072003Z_20250105T072103Z/KEF_outputs/X_prediction_results.csv
TRE03/HE.TRE03..CHN__20250105T080336Z__20250105T080436Z.mseed,HE,TRE03,0,0,0,0,2025-01-05 08:03:40.424000,0.207,,,2025-01-05 08:03:36.000000,2025-01-05 08:04:36.000000,eqcct_noise_th0_1/20250105T080336Z_20250105T080436Z/TRE03_outputs/X_prediction_results.csv
FIC6/HE.FIC6..HHZ__20250105T092755Z__20250105T092855Z.mseed,HE,FIC6,0,0,0,0,2025-01-05 09:27:59.590000,0.576,,,2025-01-05 09:27:55.000000,2025-01-05 09:28:55.000000,eqcct_noise_th0_1/20250105T092755Z_20250105T092855Z/FIC6_outputs/X_prediction_results.csv
HEF/HE.HEF..HHN__20250105T092917Z__20250105T093017Z.mseed,HE,HEF,0,0,0,0,2025-01-05 09:29:21.980000,0.351,,,2025-01-05 09:29:17.000000,2025-01-05 09:30:17.000000,eqcct_noise_th0_1/20250105T092917Z_20250105T093017Z/HEF_outputs/X_prediction_results.csv
