file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt
OBF0/HE.OBF0..HHE__20250106T060357Z__20250106T060457Z.mseed,HE,OBF0,0,0,0,0,2025-01-06 06:04:02.792000,0.288,,,2025-01-06 06:03:57,2025-01-06 06:04:57
OBF0/HE.OBF0..HHE__20250106T060357Z__20250106T060457Z.mseed,HE,OBF0,0,0,0,0,2025-01-06 06:05:09.872000,0.003,,,2025-01-06 06:03:57,2025-01-06 06:04:57
OUF/HE.OUF..HHN__20250106T060404Z__20250106T060504Z.mseed,HE,OUF ,0,0,0,0,2025-01-06 06:04:08.310000,0.049,,,2025-01-06 06:04:04,2025-01-06 06:05:04
VAF/HE.VAF..HHN__20250106T122653Z__20250106T122753Z.mseed,HE,VAF ,0,0,0,0,2025-01-06 12:26:57.620000,0.715,2025-01-06 12:27:18.910000,0.358,2025-01-06 12:26:53,2025-01-06 12:27:53
OBF0/HE.OBF0..HHN__20250106T122712Z__20250106T122812Z.mseed,HE,OBF0,0,0,0,0,2025-01-06 12:27:17.780000,0.245,,,2025-01-06 12:27:12,2025-01-06 12:28:12
OBF0/HE.OBF0..HHN__20250106T122712Z__20250106T122812Z.mseed,HE,OBF0,0,0,0,0,2025-01-06 12:28:23.640000,0.004,,,2025-01-06 12:27:12,2025-01-06 12:28:12
TOF/HE.TOF..HHE__20250106T190146Z__20250106T190246Z.mseed,HE,TOF ,0,0,0,0,2025-01-06 19:01:50.060000,0.711,2025-01-06 19:02:01.850000,0.411,2025-01-06 19:01:46,2025-01-06 19:02:46
OBF3/HE.OBF3..HHE__20250106T190201Z__20250106T190301Z.mseed,HE,OBF3,0,0,0,0,2025-01-06 19:02:05.742000,0.421,2025-01-06 19:02:10.552000,0.285,2025-01-06 19:02:01,2025-01-06 19:03:01
OBF0/HE.OBF0..HHN__20250106T190205Z__20250106T190305Z.mseed,HE,OBF0,0,0,0,0,2025-01-06 19:02:09.222000,0.511,2025-01-06 19:02:12.982000,0.42,2025-01-06 19:02:05,2025-01-06 19:03:05
OUL/FN.OUL..HHZ__20250106T190210Z__20250106T190310Z.mseed,FN,OUL ,0,0,0,0,2025-01-06 19:02:14.560000,0.411,,,2025-01-06 19:02:10,2025-01-06 19:03:10
OUF/HE.OUF..HHE__20250106T190211Z__20250106T190311Z.mseed,HE,OUF ,0,0,0,0,2025-01-06 19:02:15.950000,0.624,2025-01-06 19:02:19.390000,0.262,2025-01-06 19:02:11,2025-01-06 19:03:11
OUF/HE.OUF..HHE__20250106T190211Z__20250106T190311Z.mseed,HE,OUF ,0,0,0,0,2025-01-06 19:03:22.020000,0.003,,,2025-01-06 19:02:11,2025-01-06 19:03:11
RANF/FN.RANF..HHZ__20250106T190221Z__20250106T190321Z.mseed,FN,RANF,0,0,0,0,2025-01-06 19:02:25.770000,0.335,,,2025-01-06 19:02:21,2025-01-06 19:03:21
RNF/FN.RNF..HHN__20250106T190221Z__20250106T190321Z.mseed,FN,RNF ,0,0,0,0,2025-01-06 19:02:26.170000,0.122,2025-01-06 19:02:29.490000,0.177,2025-01-06 19:02:21,2025-01-06 19:03:21
RNF/FN.RNF..HHN__20250106T190221Z__20250106T190321Z.mseed,FN,RNF ,0,0,0,0,2025-01-06 19:03:34,0.004,,,2025-01-06 19:02:21,2025-01-06 19:03:21
KLF/FN.KLF..HHZ__20250106T190224Z__20250106T190324Z.mseed,FN,KLF ,0,0,0,0,2025-01-06 19:02:28.950000,0.229,,,2025-01-06 19:02:24,2025-01-06 19:03:24
KLF/FN.KLF..HHZ__20250106T190224Z__20250106T190324Z.mseed,FN,KLF ,0,0,0,0,2025-01-06 19:03:33.910000,0.01,,,2025-01-06 19:02:24,2025-01-06 19:03:24
OUF/HE.OUF..HHE__20250107T041414Z__20250107T041514Z.mseed,HE,OUF ,0,0,0,0,2025-01-07 04:14:19.440000,0.948,2025-01-07 04:14:21.660000,0.902,2025-01-07 04:14:14,2025-01-07 04:15:14
OBF0/HE.OBF0..HHN__20250107T041416Z__20250107T041516Z.mseed,HE,OBF0,0,0,0,0,2025-01-07 04:14:21.868000,0.939,2025-01-07 04:14:25.808000,0.878,2025-01-07 04:14:16,2025-01-07 04:15:16
OBF3/HE.OBF3..HHN__20250107T041420Z__20250107T041520Z.mseed,HE,OBF3,0,0,0,0,2025-01-07 04:14:25.280000,0.954,2025-01-07 04:14:31.890000,0.819,2025-01-07 04:14:20,2025-01-07 04:15:20
OUL/FN.OUL..HHZ__20250107T041427Z__20250107T041527Z.mseed,FN,OUL ,0,0,0,0,2025-01-07 04:14:32.540000,0.916,2025-01-07 04:14:44.290000,0.496,2025-01-07 04:14:27,2025-01-07 04:15:27
ALAJF/HE.ALAJF..HHE__20250107T041433Z__20250107T041533Z.mseed,HE,ALAJF,0,0,0,0,2025-01-07 04:14:38.872000,0.937,2025-01-07 04:14:54.992000,0.613,2025-01-07 04:14:33,2025-01-07 04:15:33
VAF/HE.VAF..HHN__20250107T041439Z__20250107T041539Z.mseed,HE,VAF ,0,0,0,0,2025-01-07 04:14:44.440000,0.808,2025-01-07 04:15:04.950000,0.413,2025-01-07 04:14:39,2025-01-07 04:15:39
TOF/HE.TOF..HHE__20250107T041441Z__20250107T041541Z.mseed,HE,TOF ,0,0,0,0,2025-01-07 04:14:45.610000,0.621,2025-01-07 04:15:09.250000,0.048,2025-01-07 04:14:41,2025-01-07 04:15:41
SUF/HE.SUF..HHN__20250107T041442Z__20250107T041542Z.mseed,HE,SUF ,0,0,0,0,2025-01-07 04:14:46.240000,0.718,2025-01-07 04:15:09.610000,0.034,2025-01-07 04:14:42,2025-01-07 04:15:42
NIF/HE.NIF..HHZ__20250107T041501Z__20250107T041601Z.mseed,HE,NIF ,0,0,0,0,2025-01-07 04:15:07.886000,0.211,2025-01-07 04:15:07.636000,0.171,2025-01-07 04:15:01,2025-01-07 04:16:01
RANF/FN.RANF..HHE__20250107T041507Z__20250107T041607Z.mseed,FN,RANF,0,0,0,0,2025-01-07 04:15:11.930000,0.052,,,2025-01-07 04:15:07,2025-01-07 04:16:07
VAF/HE.VAF..HHN__20250108T105016Z__20250108T105116Z.mseed,HE,VAF ,0,0,0,0,2025-01-08 10:50:21.740000,0.816,2025-01-08 10:50:43.540000,0.416,2025-01-08 10:50:16,2025-01-08 10:51:16
OBF0/HE.OBF0..HHN__20250108T105033Z__20250108T105133Z.mseed,HE,OBF0,0,0,0,0,2025-01-08 10:50:37.736000,0.633,2025-01-08 10:50:39.486000,0.376,2025-01-08 10:50:33,2025-01-08 10:51:33
