file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt,source_file
KIF/HE.KIF..HHN__20250110T182628Z__20250110T182728Z.mseed,HE,KIF,0,0,0,0,2025-01-10 18:26:33.240000,0.528,2025-01-10 18:26:42.590000,0.734,2025-01-10 18:26:28.000000,2025-01-10 18:27:28.000000,eqcct_explosions_th0_1/20250110T182628Z_20250110T182728Z/KIF_outputs/X_prediction_results.csv
HEF/HE.HEF..HHZ__20250110T182649Z__20250110T182749Z.mseed,HE,HEF,0,0,0,0,2025-01-10 18:26:53.690000,0.868,2025-01-10 18:27:19.880000,0.286,2025-01-10 18:26:49.000000,2025-01-10 18:27:49.000000,eqcct_explosions_th0_1/20250110T182649Z_20250110T182749Z/HEF_outputs/X_prediction_results.csv
VRF/HE.VRF..HHE__20250110T200542Z__20250110T200642Z.mseed,HE,VRF,0,0,0,0,2025-01-10 20:05:46.280000,0.869,2025-01-10 20:06:06.070000,0.427,2025-01-10 20:05:42.000000,2025-01-10 20:06:42.000000,eqcct_explosions_th0_1/20250110T200542Z_20250110T200642Z/VRF_outputs/X_prediction_results.csv
RAJF/FN.RAJF..HHZ__20250110T200551Z__20250110T200651Z.mseed,FN,RAJF,0,0,0,0,,,2025-01-10 20:06:23.110000,0.168,2025-01-10 20:05:51.000000,2025-01-10 20:06:51.000000,eqcct_explosions_th0_1/20250110T200551Z_20250110T200651Z/RAJF_outputs/X_prediction_results.csv
OLKF/FN.OLKF..HHN__20250110T200552Z__20250110T200652Z.mseed,FN,OLKF,0,0,0,0,2025-01-10 20:05:56.750000,0.819,2025-01-10 20:06:24.780000,0.264,2025-01-10 20:05:52.000000,2025-01-10 20:06:52.000000,eqcct_explosions_th0_1/20250110T200552Z_20250110T200652Z/OLKF_outputs/X_prediction_results.csv
KU6/HE.KU6..HHN__20250110T200553Z__20250110T200653Z.mseed,HE,KU6,0,0,0,0,2025-01-10 20:05:57.140000,0.833,2025-01-10 20:06:27.470000,0.204,2025-01-10 20:05:53.000000,2025-01-10 20:06:53.000000,eqcct_explosions_th0_1/20250110T200553Z_20250110T200653Z/KU6_outputs/X_prediction_results.csv
KEV/HE.KEV..HHN__20250110T200605Z__20250110T200705Z.mseed,HE,KEV,0,0,0,0,2025-01-10 20:06:10.330000,0.693,,,2025-01-10 20:06:05.000000,2025-01-10 20:07:05.000000,eqcct_explosions_th0_1/20250110T200605Z_20250110T200705Z/KEV_outputs/X_prediction_results.csv
VRF/HE.VRF..HHZ__20250111T201429Z__20250111T201529Z.mseed,HE,VRF,0,0,0,0,2025-01-11 20:14:33.180000,0.749,2025-01-11 20:14:53.980000,0.618,2025-01-11 20:14:29.000000,2025-01-11 20:15:29.000000,eqcct_explosions_th0_1/20250111T201429Z_20250111T201529Z/VRF_outputs/X_prediction_results.csv
RAJF/FN.RAJF..HHE__20250111T201439Z__20250111T201539Z.mseed,FN,RAJF,0,0,0,0,2025-01-11 20:14:43.280000,0.141,,,2025-01-11 20:14:39.000000,2025-01-11 20:15:39.000000,eqcct_explosions_th0_1/20250111T201439Z_20250111T201539Z/RAJF_outputs/X_prediction_results.csv
OLKF/FN.OLKF..BHZ__20250111T201440Z__20250111T201540Z.mseed,FN,OLKF,0,0,0,0,2025-01-11 20:14:44.100000,0.71,2025-01-11 20:15:12.900000,0.504,2025-01-11 20:14:40.000000,2025-01-11 20:15:40.000000,eqcct_explosions_th0_1/20250111T201440Z_20250111T201540Z/OLKF_outputs/X_prediction_results.csv
