file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt,source_file
KJNF,HE,KJNF,0,0.0,0.0,0.0,2025-01-02 11:51:57.090,0.941877,2025-01-02 11:52:14.920,0.285999,2025-01-02 11:51:52.000,2025-01-02 11:52:52.000,eqt_explosions_th0_1/20250102T115152Z_20250102T115252Z/KJNF_outputs/X_prediction_results.csv
TOF,HE,TOF,0,0.0,0.0,0.0,2025-01-02 11:51:57.980,0.916343,2025-01-02 11:52:17.060,0.329103,2025-01-02 11:51:52.000,2025-01-02 11:52:52.000,eqt_explosions_th0_1/20250102T115152Z_20250102T115252Z/TOF_outputs/X_prediction_results.csv
RANF,FN,RANF,0,0.0,0.0,0.0,2025-01-02 11:52:01.100,0.847715,2025-01-02 11:52:23.030,0.129479,2025-01-02 11:51:56.000,2025-01-02 11:52:56.000,eqt_explosions_th0_1/20250102T115156Z_20250102T115256Z/RANF_outputs/X_prediction_results.csv
KU2,HE,KU2,0,0.0,0.0,0.0,2025-01-02 11:52:04.690,0.929003,2025-01-02 11:52:27.660,0.25207,2025-01-02 11:51:59.000,2025-01-02 11:52:59.000,eqt_explosions_th0_1/20250102T115159Z_20250102T115259Z/KU2_outputs/X_prediction_results.csv
NIF,HE,NIF,0,0.0,0.0,0.0,2025-01-02 11:52:06.390,0.950364,2025-01-02 11:52:31.650,0.497861,2025-01-02 11:52:01.000,2025-01-02 11:53:01.000,eqt_explosions_th0_1/20250102T115201Z_20250102T115301Z/NIF_outputs/X_prediction_results.csv
VAF,HE,VAF,0,0.0,0.0,0.0,2025-01-02 11:52:07.180,0.954646,2025-01-02 11:52:32.370,0.378499,2025-01-02 11:52:02.000,2025-01-02 11:53:02.000,eqt_explosions_th0_1/20250102T115202Z_20250102T115302Z/VAF_outputs/X_prediction_results.csv
SUF,HE,SUF,0,0.0,0.0,0.0,2025-01-02 11:52:09.980,0.882839,2025-01-02 11:52:38.440,0.268975,2025-01-02 11:52:04.000,2025-01-02 11:53:04.000,eqt_explosions_th0_1/20250102T115204Z_20250102T115304Z/SUF_outputs/X_prediction_results.csv
KU1,HE,KU1,0,0.0,0.0,0.0,2025-01-02 11:52:11.580,0.801248,2025-01-02 11:52:40.040,0.286279,2025-01-02 11:52:06.000,2025-01-02 11:53:06.000,eqt_explosions_th0_1/20250102T115206Z_20250102T115306Z/KU1_outputs/X_prediction_results.csv
RMF,HE,RMF,0,0.0,0.0,0.0,2025-01-02 11:52:13.390,0.458334,,,2025-01-02 11:52:08.000,2025-01-02 11:53:08.000,eqt_explosions_th0_1/20250102T115208Z_20250102T115308Z/RMF_outputs/X_prediction_results.csv
RMF,HE,RMF,0,0.0,0.0,0.0,,,2025-01-02 11:52:43.400,0.248005,2025-01-02 11:52:08.000,2025-01-02 11:53:08.000,eqt_explosions_th0_1/20250102T115208Z_20250102T115308Z/RMF_outputs/X_prediction_results.csv
KLF,FN,KLF,0,0.0,0.0,0.0,2025-01-02 11:52:16.200,0.215922,,,2025-01-02 11:52:11.000,2025-01-02 11:53:11.000,eqt_explosions_th0_1/20250102T115211Z_20250102T115311Z/KLF_outputs/X_prediction_results.csv
KLF,FN,KLF,0,0.0,0.0,0.0,,,2025-01-02 11:52:50.530,0.325937,2025-01-02 11:52:11.000,2025-01-02 11:53:11.000,eqt_explosions_th0_1/20250102T115211Z_20250102T115311Z/KLF_outputs/X_prediction_results.csv
KAF,HE,KAF,0,0.0,0.0,0.0,2025-01-02 11:52:19.480,0.685702,,,2025-01-02 11:52:14.000,2025-01-02 11:53:14.000,eqt_explosions_th0_1/20250102T115214Z_20250102T115314Z/KAF_outputs/X_prediction_results.csv
KAF,HE,KAF,0,0.0,0.0,0.0,,,2025-01-02 11:52:54.440,0.404733,2025-01-02 11:52:14.000,2025-01-02 11:53:14.000,eqt_explosions_th0_1/20250102T115214Z_20250102T115314Z/KAF_outputs/X_prediction_results.csv
KPF,HE,KPF,0,0.0,0.0,0.0,2025-01-02 11:52:24.780,0.405605,,,2025-01-02 11:52:19.000,2025-01-02 11:53:19.000,eqt_explosions_th0_1/20250102T115219Z_20250102T115319Z/KPF_outputs/X_prediction_results.csv
KEF,HE,KEF,0,0.0,0.0,0.0,,,2025-01-02 11:52:50.530,0.231148,2025-01-02 11:52:45.000,2025-01-02 11:53:45.000,eqt_explosions_th0_1/20250102T115245Z_20250102T115345Z/KEF_outputs/X_prediction_results.csv
VRF,HE,VRF,0,0.0,0.0,0.0,2025-01-02 12:39:46.390,0.954643,2025-01-02 12:39:52.510,0.259829,2025-01-02 12:39:41.000,2025-01-02 12:40:41.000,eqt_explosions_th0_1/20250102T123941Z_20250102T124041Z/VRF_outputs/X_prediction_results.csv
RAJF,FN,RAJF,0,0.0,0.0,0.0,2025-01-02 12:40:01.700,0.884234,2025-01-02 12:40:17.710,0.564111,2025-01-02 12:39:56.000,2025-01-02 12:40:56.000,eqt_explosions_th0_1/20250102T123956Z_20250102T124056Z/RAJF_outputs/X_prediction_results.csv
OLKF,FN,OLKF,0,0.0,0.0,0.0,2025-01-02 12:40:03.810,0.511665,2025-01-02 12:40:20.790,0.358553,2025-01-02 12:39:58.000,2025-01-02 12:40:58.000,eqt_explosions_th0_1/20250102T123958Z_20250102T124058Z/OLKF_outputs/X_prediction_results.csv
KU6,HE,KU6,0,0.0,0.0,0.0,2025-01-02 12:40:08.080,0.543183,2025-01-02 12:40:28.920,0.292605,2025-01-02 12:40:03.000,2025-01-02 12:41:03.000,eqt_explosions_th0_1/20250102T124003Z_20250102T124103Z/KU6_outputs/X_prediction_results.csv
KU2,HE,KU2,0,0.0,0.0,0.0,2025-01-02 12:40:16.900,0.917385,2025-01-02 12:40:43.170,0.23339,2025-01-02 12:40:11.000,2025-01-02 12:41:11.000,eqt_explosions_th0_1/20250102T124011Z_20250102T124111Z/KU2_outputs/X_prediction_results.csv
KU1,HE,KU1,0,0.0,0.0,0.0,2025-01-02 12:40:16.590,0.668241,2025-01-02 12:40:43.840,0.125393,2025-01-02 12:40:11.000,2025-01-02 12:41:11.000,eqt_explosions_th0_1/20250102T124011Z_20250102T124111Z/KU1_outputs/X_prediction_results.csv
KU1,HE,KU1,0,0.0,0.0,0.0,2025-01-02 12:40:17.590,0.165317,,,2025-01-02 12:40:11.000,2025-01-02 12:41:11.000,eqt_explosions_th0_1/20250102T124011Z_20250102T124111Z/KU1_outputs/X_prediction_results.csv
RANF,FN,RANF,0,0.0,0.0,0.0,2025-01-02 12:40:17.760,0.395662,2025-01-02 12:40:45.750,0.227949,2025-01-02 12:40:12.000,2025-01-02 12:41:12.000,eqt_explosions_th0_1/20250102T124012Z_20250102T124112Z/RANF_outputs/X_prediction_results.csv
KLF,FN,KLF,0,0.0,0.0,0.0,2025-01-02 12:40:22.010,0.932991,2025-01-02 12:40:25.750,0.595397,2025-01-02 12:40:16.000,2025-01-02 12:41:16.000,eqt_explosions_th0_1/20250102T124016Z_20250102T124116Z/KLF_outputs/X_prediction_results.csv
KEV,HE,KEV,0,0.0,0.0,0.0,2025-01-02 12:40:23.020,0.885176,,,2025-01-02 12:40:18.000,2025-01-02 12:41:18.000,eqt_explosions_th0_1/20250102T124018Z_20250102T124118Z/KEV_outputs/X_prediction_results.csv
KEV,HE,KEV,0,0.0,0.0,0.0,,,2025-01-02 12:40:54.520,0.410371,2025-01-02 12:40:18.000,2025-01-02 12:41:18.000,eqt_explosions_th0_1/20250102T124018Z_20250102T124118Z/KEV_outputs/X_prediction_results.csv
HEF,HE,HEF,0,0.0,0.0,0.0,2025-01-02 12:40:24.580,0.923294,,,2025-01-02 12:40:19.000,2025-01-02 12:41:19.000,eqt_explosions_th0_1/20250102T124019Z_20250102T124119Z/HEF_outputs/X_prediction_results.csv
HEF,HE,HEF,0,0.0,0.0,0.0,,,2025-01-02 12:41:02.070,0.411287,2025-01-02 12:40:19.000,2025-01-02 12:41:19.000,eqt_explosions_th0_1/20250102T124019Z_20250102T124119Z/HEF_outputs/X_prediction_results.csv
TOF,HE,TOF,0,0.0,0.0,0.0,2025-01-02 12:40:26.390,0.550875,,,2025-01-02 12:40:21.000,2025-01-02 12:41:21.000,eqt_explosions_th0_1/20250102T124021Z_20250102T124121Z/TOF_outputs/X_prediction_results.csv
KIF,HE,KIF,0,0.0,0.0,0.0,2025-01-02 12:40:41.420,0.266208,,,2025-01-02 12:40:36.000,2025-01-02 12:41:36.000,eqt_explosions_th0_1/20250102T124036Z_20250102T124136Z/KIF_outputs/X_prediction_results.csv
KLF,FN,KLF,0,0.0,0.0,0.0,2025-01-02 23:12:52.800,0.46273,2025-01-02 23:13:10.010,0.398472,2025-01-02 23:12:47.000,2025-01-02 23:13:47.000,eqt_explosions_th0_1/20250102T231247Z_20250102T231347Z/KLF_outputs/X_prediction_results.csv
HEF,HE,HEF,0,0.0,0.0,0.0,2025-01-02 23:12:59.290,0.911634,2025-01-02 23:13:21.770,0.334861,2025-01-02 23:12:54.000,2025-01-02 23:13:54.000,eqt_explosions_th0_1/20250102T231254Z_20250102T231354Z/HEF_outputs/X_prediction_results.csv
